ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,ID,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
BO-BBV,,La Paz,Bolivia,,,CALLE MONTEVIDEO NO. 142,0011I00000cijosQAA,,Business,Bolsa Boliviana de Valores,0,591-2-244-3232,Private Sector,,,
BO-BCB,,,Bolivia,,,SUBGERENCIA DE RESERVAS Y DEUDA EXTERNACALLE AYACUCHO ESQ. MERCADO,0011I00000cijI5QAI,,Financial Institution,Banco Central de Bolivia,0,,,,,
BO-BDA,,La Paz,Bolivia,,,Av. 16 de Julio No. 1486 A,0011I00000cikDLQAY,,Financial Institution,Banco los Andes Procredit,0,59122313133,Private Sector,,,www.losandesprocredit.com.bo
BO-BIM,,La Paz,Bolivia,0,,"Avenida Sánchez Bustamante esquina Calle 15, Calacoto. Torre Ketal, Piso 4, Oficina 404EDIFICIO TORRE KETAL, PISO 4",0011I00000cikelQAA,,Business,Bolivia Investment Management Ltd.,0,59122113237,Private Sector,,,http://www.biminvestments.com/
BO-BOEOZCB,BEC,Santa Cruz De La Sierra,Bolivia,,,CALLE AYACUCHO 166SANTA CRUZ DE LA SIERR,0011I00000cikeFQAQ,,Financial Institution,Banco Economico s.a.,0,59133155500,Private Sector,,,https://www.baneco.com.bo/
BO-BOLINVEST,,,Bolivia,,,,0011I00000cijHhQAI,,,Fundacion Bolinvest,0,,,,,
BO-CABEXSE,,Santa Cruz De La Sierra,Bolivia,,,"Parque Industrial Mza. 43-A, Avenida Via Transversal XII, Mutualista (Canal Chivato). 5to anillo, 4 cuadras a la derecha.2º PISO. OF. 212",0011I00000cikXtQAI,Business Association/Chamber,Business,Cámara Boliviana de Exportadores de Sésamo,0,5.91E+17,Private Sector,,,http://www.cabexse.org.bo/
BO-CABOLQUI,,La Paz,Bolivia,,,"La Florida, Shopping Sur , Piso 3 of. 11",0011I00000cikeDQAQ,,,Cámara Boliviana de Exportadores de Quinua y Otros Productos Orgánicos,0,59122792852,Private Sector,,,http://www.cabolqui.org/
BO-CACJN,,Santa Cruz De La Sierra,Bolivia,,,CALLE LA PAZ 270,0011I00000cik6XQAQ,,Financial Institution,Cooperativa de Ahorro y Credito Jejus Nazareno,0,5913638000,Private Sector,,,"www.jesus-nazareno.coop , http://www.mixmarket.org/mfi/coop-jes%C3%BAs-nazareno"
BO-CADECO,,Cochabamba,Bolivia,493,,"CALLE SUCRE Nº E-336 entre 25 de Mayo y Esteban Arce, 2º Piso",0011I00000cijoiQAA,Business Association/Chamber,Business,Camara de Comercio y Servicios de Cochabamba,0,59144257715,Private Sector,,,http://www.cadeco.org/
BO-CAINCO,CAINCO,Santa Cruz De La Sierra,Bolivia,180,,Avenida Las Américas No. 7,0011I00000cijopQAA,Business Association/Chamber,Business,Camara de Industria y Comercio de Santa Cruz,0,59133334555,Private Sector,,,http://www.cainco.org.bo/
BO-CALP,,La Paz,Bolivia,,,Pasaje Peatonal Casa de la Cultura Edificio Libertad Piso 10 Oficina 1001,0011I00000cikJsQAI,,Business,Camara Agropecuaria de la Paz,0,,Private Sector,,,
BO-CAO,CAO,Santa Cruz De La Sierra,Bolivia,116,,Av. Roca y Coronado S/N (Predios de FEXPOCRUZ),0011I00000cikBOQAY,Business Association/Chamber,Business,"Camara Agropecuaria del Oriente, Bolivia",0,59133522200,Private Sector,,,http://www.cao.org.bo/
BO-CAPIASRZ,,Santa Cruz De La Sierra,Bolivia,2462,,"Av. Alemana, Calle Motacú 2470. (Avenida Alemana)CASILLA 3670",0011I00000cikWVQAY,,,Centro de Apoyo a la Pequena Industria y Artesania de Santa Cruz,0,59133436605,Private Sector,,,http://www.aladi.org/nsfaladi/entidemp.nsf/wwdetpais/Bolivia?OpenDocument&Start=1&Count=200&Expand=3
BO-CAUB,CAUB,La Paz,Bolivia,,,"C/ Batallon Colorado No 162 Edif. Batallón Colorado P.2 of. 2002La Paz - C/ Batallon Colorado No 162 Edif. Batallón Colorado P.2 of. 2002, telf  (591-2)2440311",0011I00000cijobQAA,Business Association/Chamber,Business,Colegio de Auditores o Contadores Públicos Autorizados,0,59122440311,Private Sector,,,www.auditorescontadoresbolivia.org/
BO-CCAM,,Santa Cruz De La Sierra,Bolivia,,,CASILLA NO. 4147,0011I00000cik4hQAA,,Business,Central de Cooperativas Agropecuarias Minero Ltda.,0,,Private Sector,,,
BO-CDI,,Cochabamba,Bolivia,,,"Calle Pasos Kanki Nro. 2160 entre Av. Rodriguez Morales y Calle Hartman, casi Ciclovia, Zona de Cala Cala",0011I00000cijojQAA,Business Association/Chamber,Business,Camara Departamental de Industria de Cochabamba,0,59144257057,Private Sector,,,http://www.camind.com/
BO-CECAOT,CECAOT,La Paz,Bolivia,7759,,"Av. Mariscal Santa Cruz (Zona Central) Edif. Esperanza Nº 2150, Piso 4 Oficina 1Edificio Esperanza No. 2150 Piso 4 Of. 1",0011I00000cik5OQAQ,Producer association,Business,"Cent.de Coop.agrop.de Prod.de Quinua ""Operacion Tierra""",0,5912318502,Private Sector,,,http://www.quinua.com.bo/
BO-CEIS,,La Paz,Bolivia,,,CASILLA 5894,0011I00000cikR9QAI,,Business,Centro al Servicio de la Integracion Social,0,,Private Sector,,,
BO-CENAPOINTEMUJ,,La Paz,Bolivia,,,CASILLA DE CORREOS 697,0011I00000cikWbQAI,,,Centro de Apoyo Integral de la Mujer,0,,Private Sector,,,
BO-CEPAC,,Santa Cruz De La Sierra,Bolivia,3488,,"CALLE GUMERCINDO CORONADO N. 3130, BARRIO LA MORITARITA",0011I00000cijoxQAA,,,Centro de Promocion Agropecuaria Campesina,0,59133537331,Private Sector,,,http://www.cepac.org.bo/
BO-CEPAD,,Santa Cruz De La Sierra,Bolivia,,,"Av. Cristo Redentor, Km. 6 1/2, Av. Viru Viru Esq. Callle 3, S/N, Barrio Entel",0011I00000cijoqQAA,,,Centro para la Participación y el Desarrollo Humano Sostenible,0,59133434192,Private Sector,,,Page not available : www.cepad.org / Info: https://www.facebook.com/CEPAD.Bolivia
BO-CI-BOLIVIA,,La Paz,Bolivia,,,"Calacoto, calle 13, Nº 8008 - Casilla 13593",0011I00000cikDCQAY,,,Conservation International-Bolivia,0,59122797700,Private Sector,,,www.conservation.org.bo/index.php
BO-CICCH,,Sucre,Bolivia,,,"Calle Espana 64, Piso 2, Casillo No. 33",0011I00000cijogQAA,Business Association/Chamber,Business,Camara de Industria y Comercio de Chuquisaca,0,59146451724,Private Sector,,,http://www.chamber-commerce.net/dir/405/Camara-de-Industria-y-Comercio-de-Chuquisaca-in-Sucre
BO-CICSC,CAINCO,Santa Cruz De La Sierra,Bolivia,,,Avenida Las Américas No. 7,0011I00000cijp2QAA,Business Association/Chamber,Business,"Cámara de Industria, Comercio, Servicios y Turismo de Santa Cruz",0,59133334555,Private Sector,,,http://www.cainco.org.bo/default.aspx
BO-CIDRE,CIDRE,Cochabamba,Bolivia,1840,,Av. Capitán Ustariz #2154,0011I00000cijp5QAA,,,Centro de Investigacion y Desarrollo Regional,0,59144411110,Private Sector,,,http://www.cidre.org.bo/
BO-CIES,,,Bolivia,,,"CALLE 6 DE OBRAJES #614, OBRAJES",0011I00000cijDzQAI,,,"Asociación Centro de Investigación, Educación y Servicios",0,(5912) 2788162,,,,
BO-CISCL,,Ciudad De Punata,Bolivia,,,PUNATA,0011I00000cik5vQAA,Producer association,Business,"Cooperativa Integral de Servicios de Cochabamba, Ltda.",0,59144577003,Private Sector,,,http://andil.com.bo/asociada-1.asp?codigo=33
BO-CLA,,Santa Cruz De La Sierra,Bolivia,,,AVE. CRISTO REDENTOR 3730ENTRE 4TO Y 5TO ANILLO,0011I00000cijzCQAQ,,Financial Institution,Banco los Andes Procredit s.a.,0,59172118961,Private Sector,,,www.losandesprocredit.com.bo
BO-CNI,,La Paz,Bolivia,611,,"Edificio Cámara Nacional de Comercio, Piso 14",0011I00000cikDaQAI,Business Association/Chamber,Business,Camara Nacional de Industria,0,59122374477,Private Sector,,,http://www.bolivia-industry.com/
BO-COLPIRAI,,Santa Cruz De La Sierra,Bolivia,,,Doble Vía La Guardia Km. 12 1/2,0011I00000cikWoQAI,,,Colonia Pirai,0,59133529676,Private Sector,,,
BO-COOPINTSERVCOCHA,,,Bolivia,,,,0011I00000cijIJQAY,,,Cooperativa Integral de Servicios Cochabamba Ltda,0,,,,,
BO-COPROCA,,El Alto,Bolivia,,,"El Alto, Zona El Porvenir Av. Puerto de Ilo No. 10IR",0011I00000cilwNQAQ,,Business,Compañía de Productos Camélidos Sa,0,59122852040,Private Sector,,,www.coprocabolivia.com
BO-CORDEBENI,,Trinidad,Bolivia,,,Edif. Prefectural Plaza Principal Acera SurCASILLA 100,0011I00000cikS1QAI,,Government,Corporacion Regional de Desarrollo del Beni,0,59134620200,Public Sector,,,http://www.beni.gob.bo/
BO-CORDECO,,Cochabamba,Bolivia,,,Plaza 14 de Septiembre,0011I00000cik53QAA,,Government,Corporacion Regional de Desarrollo de Cochabamba,0,59144228100,Public Sector,,,http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=52938
BO-COSESACR,,Santa Cruz De La Sierra,Bolivia,,,"Avenida Santos Dumont, Calle Capitán Dardo Arana Nº 3095LA MORITA",0011I00000cikXlQAI,,Government,Comité de Semillas de Santa Cruz,0,59133523272,Public Sector,,,Page not available :semillassantacruz.org / Info : http://www.boliviarural.org/index.php?option=com_contact&view=contact&id=21:pns&catid=39:organizaciones-sociales
BO-CRECER,CRECER,La Paz,Bolivia,,,"Calle Demetrio Canelas Nº 27 entre 16 y 17 de Obrajes, Edificio CRECERCasilla Nº 13748",0011I00000cijp3QAA,,,Asociacion Credito Con Educacion Rural,0,59122114040,Private Sector,,,http://www.crecer.org.bo/
BO-CREMCRIAR,,Cochabamba,Bolivia,,,CALLE HIMALAYA NO. E-367,0011I00000cijowQAA,,Business,Centro Regional de Estudios Multidisciplinarios,0,591-4-458-0023,Private Sector,,,
BO-CUNA,,La Paz,Bolivia,,,"Av. Hernando Siles N.5680, Obrajes1487 MIRAFLORES",0011I00000cikPLQAY,,,Asociacion Cuna,0,59122112380,Private Sector,,,http://www.cuna.org.bo/
BO-DIACONIA FRIF,,El Alto,Bolivia,,,Av. Juan Pablo II Esq. Sbte. Jorge Eulert nr.125- Zona 16 Julio - Casilla 3378 -,0011I00000cikPTQAY,,Financial Institution,Diaconia - Fondo Rotativo de Inversión Yfomento,0,5.91228E+11,Private Sector,,,www.diaconia-frif.org
BO-ECOFUTURO,BANCO PYME ECOFUTURO,La Paz,Bolivia,,,Calle México N 1530 entre Otero de la Vega y Nicolás Acosta - Zona de San Pedro Casilla 3092 Casilla 3092 Casilla 3092Casilla 3092,0011I00000cikJbQAI,,Financial Institution,"Ecofuturo s.a., Bolivia",0,5912186100,Private Sector,,,www.ecofuturo.com.bo
BO-EDI,,La Paz,Bolivia,,,"Avenida 16 de julio - Edificio Avenida #1490-3er piso, Oficina 1",0011I00000cijonQAA,,,Estrategias para el Desarrollo Internacional,0,1.15912E+12,Private Sector,,,www.sidworld.org
BO-EMPRENDER,,La Paz,Bolivia,10203,,"Calle Presbitero Medina. Pje. Taltal N° 570, Sopocachi",0011I00000cijodQAA,,,Fondo Emprender,0,59122152390,Private Sector,,,http://www.emprender.org.bo/
BO-ENERGETICA,ENERGETICA,Cochabamba,Bolivia,4964,,CALLE LA PAZ NO. 573 - CASILLA 4964 P.O. Bx 4964,0011I00000cikdSQAQ,,,Energetica,0,59144253647,Private Sector,,,www.energetica.org.bo
BO-ESTASVIVO,FEV,La Paz,Bolivia,,,"Calle 15 No. 839 Calacoto, Edificio Fegal",0011I00000cikjQQAQ,,Foundation,Fundacion Estas Vivo,0,59122442420,Private Sector,,,www.fundacionviva.org
BO-FADES,,La Paz,Bolivia,,,"Calle Macario Pinilla No. 370, Casilla 14927",0011I00000cijp0QAA,,,Fundacion Alternativa de Desarrollo,0,59122432727,Private Sector,,,http://www.fades.org.bo/
BO-FAN,,Santa Cruz De La Sierra,Bolivia,,,Km. 7 1/2 Doble Vía La GuardiaBA,0011I00000cikXaQAI,,,Fundación Amigos de la Naturaleza,0,59133556800,Private Sector,,,http://www.fan-bo.org/
BO-FAUTAPO,FUNDACIÓN FAUTAPO,Tarija,Bolivia,,,"Calle O'Connor esquina Av. Las Américas s/n. Edificio, Lizzie - Planta Baja y 1er. pisoESTENSORO",0011I00000cikYQQAY,,,Fundacion para el Desarrollo de las Universidades de Tarija y Potosi,0,59146641676,Mixed,,,http://2013.fundacionautapo.org/
BO-FCAFIN,,La Paz,Bolivia,,,Calle Macario Pinilla # 262 entre av. Arce y 6 de Agosto - SOPOCACHI,0011I00000cijoZQAQ,,,Fundacion Centro Internacional de Apoyo a las Innovaciones Financieras,0,59122432084,Private Sector,,,http://www.centroafin.org
BO-FDTA-VALLES,,Cochabamba,Bolivia,,,"Av. Salamanca N-675, edificio Sisteco Piso 1",0011I00000cijolQAA,,,Fundación para el Desarrollo Tecnológicoagropecuario de los Valles,0,59144525160,Private Sector,,,http://www.fdta-valles.org/
BO-FEPADE,FEPADE,La Paz,Bolivia,,,"Calle Rosendo Gutiérrez No. 679, esquina E. Finot.",0011I00000cilwAQAQ,,,Federación Ecumenica de Desarrollo,0,59122418716,Private Sector,,,http://www.aned.org/
BO-FFERIAISINVERSA,,La Paz,Bolivia,,,Calle Aspiazu No. 416 - Sopocachi,0011I00000cikPPQAY,,,Fundacion Feria a la Inversa,0,59122118441,Private Sector,,,http://www.feriaalainversa.com/
BO-FFP,FORTALEZA LEASING,La Paz,Bolivia,,,"Av. Arce No. 2799 esq. calle Cordero, Zona San Jorge",0011I00000cijoYQAQ,,Financial Institution,Fortaleza Fondo Financiero Privado,0,2.43414E+13,Private Sector,,,www.bancofortaleza.com.bo
BO-FFPFASSIL,,Santa Cruz De La Sierra,Bolivia,,,"Av. Cristo Redentor N° 4210, entre 4to. y 5to. anillo",0011I00000cijooQAA,,Financial Institution,Fondo Financiero Privado Fassil s.a,0,59133158000,Private Sector,,,http://www.fassil.com.bo/
BO-FFPPRODEM,,La Paz,Bolivia,,,Av. Camacho Nº 1277 esq. Colón,0011I00000cijocQAA,,Financial Institution,Fondo Financiero Privado Prodem s.a.,0,59122113227,Private Sector,,,http://www.prodemffp.com/
BO-FGBP,,Trinidad,Bolivia,,,"Av/ Cipriano Barace N° 83, 84",0011I00000cikBPQAY,,Business,Federacion de Ganaderos de Beni y Pando,0,59133462048,Private Sector,,,https://www.facebook.com/#!/pages/FEGABENI-Federacion-de-Ganaderos-del-Beni-y-Pando/159629824116508?fref=ts
BO-FHI,,La Paz,Bolivia,,,CALLE 20 DE CALACOTO NO. 8090,0011I00000cijozQAA,,,Food For The Hungry International,0,59122912404,Private Sector,,,www.fh.org
BO-FIE,CONFIE,La Paz,Bolivia,,,C Colombia 578 Entre Boqueron y Heroes del AcreAchumani (Zona Sur),0011I00000cikJcQAI,,,Centro de Fomento e Iniciativas Economicas,0,59124887872,Private Sector,,,http://www.businessvibes.com/companyprofile/Centro-de-Fomento-a-Iniciativas-Economicas-fie
BO-FINCAFE,,,Bolivia,,,"AV. JUAN PABLO II, N° 2679, EL ALTO",0011I00000cijE4QAI,,,Asociación de Servicios Financieros Cafetaleros,0,(5912) 2846287,,,,
BO-FINRURAL,FINRURAL,La Paz,Bolivia,13240,,"Av. Arce 2081 esq. Montevideo,Edif. Montevideo, Piso 3PISO 3",0011I00000cikQ9QAI,,,Asociacion de Instituciones Financieras para el Desarrollo Rural,0,59122441326,Private Sector,,,http://www.finrural.org.bo/
BO-FJMP,,Cobija,Bolivia,,,"C/ Roberto Galindo, n. 47",0011I00000cijofQAA,,,Fundacion Jose Manuel Pando,0,59138423421,Private Sector,,,http://www.gloobal.net/iepala/gloobal/fichas/ficha.php?id=16504&entidad=Agentes
BO-FNB,,Santa Cruz De La Sierra,Bolivia,-,,"Av. Roque Aguilera No. 3355 (between Av. Piraí and Doble vía a La Guardia, 3rd internal ring)-",0011I00000cikfYQAQ,,,Fundación Natura Bolivia,0,59133532126,Private Sector,,,http://www.naturabolivia.org/
BO-FONDECO,,Santa Cruz De La Sierra,Bolivia,,,"Av. Pedro Ribera Mendéz esquina Chuubi, Tercer Anillo Interno entre Av. Paragua y Av. Mutualista - Casilla 1168NO. 121",0011I00000cikX1QAI,,,Fondo de Desarrollo Comunal,0,59133466070,Private Sector,,,http://www.fondeco.org/
BO-FONDESIF,FONDESIF,La Paz,Bolivia,,,"Calle Rosendo Gutiérrez Esq. Av. Arce edif. Multicentro, Torre ""B"", Piso PA (planta alta)",0011I00000cikBkQAI,,Government,"Fondo Desarrollo del Sistema Financiero y de Apoyo al Sector Productivo, Bolivia",0,59122442191,Public Sector,,,http://www.fondesif.gob.bo
BO-FORTALEZA SAFI,,La Paz,Bolivia,,,"Calle Campero n. 9 Av. 16 de julio Nª 1591, Edif. Señor de Mayo El PradoO)",0011I00000cikPbQAI,,Business,Fortaleza Sociedad Administradora de Fondos de Inversión s.a.,0,2.36335E+13,Private Sector,,,www.fortalezasafi.com
BO-FQUIPUS,,La Paz,Bolivia,,,,0011I00000cikJZQAY,,,Fundacion Quipus,0,,Private Sector,,,
BO-FSARTAWI,,La Paz,Bolivia,,,,0011I00000cikJaQAI,,,Fundacion Satawi,0,,Private Sector,,,
BO-FTE,,Santa Cruz De La Sierra,Bolivia,,,Calle Moldes esq. Cobija EDIFICIO TELECENTRO SANTA CRUZ,0011I00000cijp1QAA,,,Fundacion Trabajo Empresa,0,59133337439,Private Sector,,,http://www.fte.org.bo/Principal/Portada
BO-FUBODE,FUBODE,Cochabamba,Bolivia,,,CALLE ANTEZANA No 216 ESQ COLOMBIA,0011I00000cikPKQAY,,,Fundacion Boliviana para el Desarrollo,0,59144525579,Private Sector,,,www.fubode.org
BO-FUNBODEM,,Santa Cruz De La Sierra,Bolivia,,,"Calle Independencia # 475, entre Calles Monseñor Salvatierra y Mercado",0011I00000cijoaQAA,,,Fundacion Boliviana para el Desarrollo de la Mujer,0,59133352101,Private Sector,,,http://www.funbodem.org/
BO-GNE,,La Paz,Bolivia,,,"Calle Pedro Pablo Linares # 240, Achumani Bajo (entre calles 18 y 19 de Calacoto, paralela a la Av. Fuerza Naval)",0011I00000cijoeQAA,,Business,Grupo Nueva Economía,0,59122791912,Private Sector,,,http://nuevaeconomia.com.bo/gne.com.bo
BO-GNTP,GNTP,Santa Cruz De La Sierra,Bolivia,20101,,"AVENIDA IRALA # 163, EDIFICIO DELTA. OFI, CINAS A3CINAS A3",0011I00000cikZDQAY,,,Grupo Nacional de Trabajo Participativo,0,591337184,Private Sector,,,www.gntp.org
BO-IADBLPR,,,Bolivia,,,*,0011I00000cijI6QAI,,,Oficina del Banco en Bolivia,0,,,,,
BO-IBNORCA,IBNORCA,La Paz,Bolivia,,,Avenida Busch No. 1196,0011I00000cikBGQAY,,Business,Instituto Boliviano de Normalizacion y Calidad,0,59122223738,Private Sector,,,http://www.ibnorca.org/inicio/noticias
BO-IDEPRO,IDEPRO,La Paz,Bolivia,,,CALLE CAMPOS NO. 132,0011I00000cijp7QAA,,,Instituto para el Desarrollo de la Pequena Unidad Productiva,0,,Private Sector,,,http://www.idepro.org
BO-IFD,,La Paz,Bolivia,8050,,CALLE PEDRO SALAZAR 509 SOPOCACHI,0011I00000cikX2QAI,,Financial Institution,Fundación Sembrar Sartawi,1,59122419252,Private Sector,,,www.sembrarsartawi.org
BO-INAGRO,,La Paz,Bolivia,,,"CALLE MEXICO ESQ. COLOMBIA # 1405, OFIC.401",0011I00000cijokQAA,,Business,Instituto de Investigacion Agricola y Veterinaria de Altura y Tropico,0,591-2-237-0376,Private Sector,,,
BO-INASET,,La Paz,Bolivia,,,"DIRECCIÓN: CALLE PEDRO SALAZAR NO. 634,SOPOCACHI",0011I00000cikPfQAI,,Business,"Instituto de Asistencia Social, Económica y Tecnológica",0,00591-2-2417857,Private Sector,,,
BO-INFOCAL,INFOCAL,La Paz,Bolivia,11590,,"Calle Chichas #1280, Saliendo del Puente de las Americas - MirafloresAv. 6 de marzo #340",0011I00000cikIZQAY,,,Instituto Nacional de Formación y Capacitación Laboral,0,59122242000,Private Sector,,,http://www.infocallp.org/
BO-INSA,,Sucre,Bolivia,,,"CALLE ARENALES 205, TERCER PISO , Sucre",0011I00000cijouQAA,,,Instituto de Nutricion y Seguridad Alimentaria,0,59146455516,Private Sector,,,http://www.fomin.org/ProgramsandProjects/ProjectsList/ProjectProfile/tabid/85/language/es-ES/Default.aspx?prj=BO-M1026# http://www.insa.gob.bo/images/publicaciones/broshure.imprenta.pdf
BO-INSAG,,,Bolivia,,,AVENIDA MARISCAL SANTA CRUZ N°2150 - EDIFICIO ESPERANZA PISO 3,0011I00000cijHUQAY,,,Instituto del Seguro Agrario,0,(591-2) 2148346,,,,
BO-LA MERCED,,Santa Cruz De La Sierra,Bolivia,,,Calle Junín Nro 363 entre España y Santa Bárbara.,0011I00000cik4jQAA,,Financial Institution,Cooperativa Multiactiva la Merced,0,59133367200,Private Sector,,,http://www.lamerced.coop
BO-LOCFUND,LOCFUND II,La Paz,Bolivia,1225,,"EDIF.TORRES KETAL, AV. SANCHEZ BUSTAMANTE ESQ. CALLE 15 DE CALACOTO, PISO 4 ESQ. CALLE 15 DE CALACOTO, PISO 4ESQ. CALLE 15 DE CALACOTO, PISO 4",0011I00000cijzRQAQ,,Business,Fondo en Moneda Local para Institucionesmicrofinancieras,0,59122799046,Private Sector,,,http://www.biminvestments.com/contactenos
BO-MC,,La Paz,Bolivia,,,,0011I00000cikELQAY,,Government,Ministerio de Capitalizacion,0,,Public Sector,,,
BO-MCEI,,Santa Cruz De La Sierra,Bolivia,,,"Palacio de las Comunicaciones, Piso 16PISO 17",0011I00000cikIcQAI,,Government,Ministerio de Comercio Exterior e Inversion,0,1.59122E+11,Public Sector,,,http://www.ofiturismo.com/oficinas-de-turismo/america/bolivia/ministerio-de-comercio-exterior-inversion-y-turismo.html
BO-MDH,,,Bolivia,,,,0011I00000cij55QAA,,Government,Ministerio de Desarrollo Humano,0,,Public Sector,,,
BO-MHDE,,,Bolivia,,,"CAJON POSTAL - MINISTERIO DE FINANZASCALLE BOLIVAR 688, ESQ. INDABURO",0011I00000cijI7QAI,,Government,Ministerio de Economia y Finanzas Publicas,0,,,,,
BO-MIFIC,Microfinanzas FIC,La Paz,Bolivia,5912,,"Av. 16 de julio Nª 1591, Edif. Señor de Mayo El PradoMPERO NO.9 (ESQ. AV. 16 DE JULIO)",0011I00000cikQoQAI,,Financial Institution,Microfinanzas Fondo de Inversion Cerrado,0,15912363351,Private Sector,,,http://www.fortalezasafi.com/
BO-MPD,,,Bolivia,,,AV MARISCAL SANTA CRUZ N 1092CASILLA POSTAL N 12814,0011I00000cijI8QAI,,Government,Ministerio de Planificacion del Desarrollo,0,591-2231-4769,,,,
BO-MTB,,La Paz,Bolivia,,,c. Yanacocha esq. Mercado Nº 234,0011I00000cikEMQAY,,Government,"Ministerio de Trabajo, Empleo y Previsión Social",0,1.59122E+11,Public Sector,,,http://www.mintrabajo.gob.bo/
BO-NORSUD,,Sucre,Bolivia,,,"Calle Guyanas Nº 23, Casilla 396",0011I00000cijovQAA,,,Fundacion Intercultural Nor Sud,0,59146446598,Private Sector,,,Page not available: www.norsud.org Info :http://www.idealist.org/view/org/MDjx659nBKh4/?orgs_view=partners&orgs_page=1
BO-OFAMI,,La Paz,Bolivia,,,"Calle Bueno Nº 335, entre Juan de la Riva y prolongación Potosí",0011I00000cijoyQAA,,,Oficina del Artesano y Microempresario,0,1.59122E+11,Private Sector,,,www.iadb.org/projectDocument.cfm?id=1403165
BO-OXFAM,,La Paz,Bolivia,5826,,Avenida Hernando Siles No. 5826entre calles 12 y 13 Zona Obrajes,0011I00000cikf3QAA,,,Oxfam Quebec en Bolivia,0,59122788323,Private Sector,,,https://www.oxfam.org/es/paises/bolivia
BO-PNUD,,,Bolivia,,,,0011I00000cijHZQAY,,,Programa de Naciones Unidas para el Desarrollo,0,,,,,
BO-PROCOSI,,La Paz,Bolivia,9432,,Av. 20 de Octubre N° 2164 entre c. Guachalla y c. Aspiazu,0011I00000cikdAQAQ,,,Programa de Coordinacion en Salud Integral,0,1.59122E+11,Private Sector,,,http://www.procosi.org.bo/
BO-PRODEM,,La Paz,Bolivia,,,"CALLE PEDRO SALAZAR 509, SOPOCACHICASILLA 5394",0011I00000cik4AQAQ,,,Fundacion para la Promocion y Desarrollode la Microempresa,0,5912-242-2008,Private Sector,,,
BO-PROFIN,,La Paz,Bolivia,,,"Av. Sanchez Lima #2600, Edificio Tango Mezanine - Casilla 1002",0011I00000cijotQAA,,,Fundacion Profin,0,59122430850,Private Sector,,,http://amerpages.com/spa/bolivia/items/view/7837/profin-fundacion
BO-PROMUJER,PROMUJER,La Paz,Bolivia,,,"Avenida Hernando Siles N° 5411, Esq. Calle 8, Edificio Ignacio de Loyola, Planta BajaEdificio Ignacio de Loyola, Planta Baja",0011I00000cijp4QAA,,,Programas para la Mujer,0,59122114914,Private Sector,,,http://promujer.org/
BO-PRORURAL,,La Paz,Bolivia,,,"Av. 6 de Agosto 2577. Edif. ""Las Dos Torres"", Piso 13RRES, PISO 13",0011I00000cijp8QAA,,,Asociación Boliviana para el Desarrollo Rural,0,5.91E+17,Private Sector,,,http://www.prorural.org.bo/
BO-PUMA,,La Paz,Bolivia,3515,,"C. Miguel de Cervantes 2977, PISO 3. Sopocachi, PISO 3.",0011I00000cikL3QAI,,,Fundación Protección y Uso Sostenible del Medio Ambiente,0,59122421011,Private Sector,,,www.fundacionpuma.org
BO-SAITE,,El Alto,Bolivia,,,Calle Esquillana No. 4014 Urbanización Cosmos 79 (Zona Collpani) El AltoONA COLLPANI,0011I00000cikedQAA,,Business,Sociedad Agropecuaria Industrial y Técnica S.r.l.,0,59122831779,Private Sector,,,http://www.quinuasaite.com.bo/
BO-SANLUIS,,Santa Cruz De La Sierra,Bolivia,,,Av. Cañoto # 860,0011I00000cilw2QAA,,Financial Institution,Cooperativa de Ahorro y Credito San Luisltda,0,59133532828,Private Sector,,,"http://www.amarillas-bolivia.com/Finanzas.-Bancos,-valores-y-seguros/Cooperativas-de-ahorro-y-credito/4944/COOPERATIVA-DE-AHORRO-Y-CR%C3%89DITO-SAN-LUIS-LTDA.html"
BO-SB,ASFI,La Paz,Bolivia,447,,"Plaza Isabel La Católica N°2507, Zona San Jorge",0011I00000cikIdQAI,,Government,Autoridad de Supervisión del Sistema Financiero,0,5.91E+17,Public Sector,,,https://www.asfi.gob.bo/
BO-SNCA,,La Paz,Bolivia,,,,0011I00000cikDJQAY,,Government,Secretaria Nacional de Capitalizacion,0,,Public Sector,,,
BO-SOBOCESA,,La Paz,Bolivia,,,MERCADO 1075 ESQ SOCABAYA - CentralABAYA,0011I00000cijorQAA,,Business,Sociedad Boliviana de Cemento,0,59122406040,Private Sector,,,http://www.soboce.com/
BO-SPVS,APS,La Paz,Bolivia,10794,,"Calle Reyes Ortiz N. 73 esq. Federico Zuazo, Edificio Torres Gundlach, Torre Este",0011I00000cikIsQAI,,Government,Autoridad de Fiscalización y Control de Pensiones y Seguros,0,59122331212,Public Sector,,,http://www.aps.gob.bo/institucional/Paginas/default.aspx
BO-ST,,La Paz,Bolivia,,,Avenida Mariscal Santa Cruz esquina Oruro,0011I00000cikENQAY,,Government,"Secretaria de Transporte,comunicacion y Aeronautica Civil",0,,Public Sector,,,
