ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,,CREATEDBYID,CREATEDDATE,DESCRIPTION,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,LASTMODIFIEDBYID,LASTMODIFIEDDATE,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
BR-FUMDHAM,FUNDHAM,São Raimundo Nonato,Brazil,64770-000,Piauí,"Centro Cultural Sérgio Motta, S/N Bairro CampestreBairro Campestre - São Raimundo Nonato - PI",,0051I000000Pt9NQAS,2018-10-04T14:51:20.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Fundacao Museu do Homem Americano,0,8935821612,Private Sector,,,http://www.fumdham.org.br/
BR-FUNDEP,FUNDEP,Belo Horizonte,Brazil,31.270-901,Minas Gerais,Av. Pres. Antônio Carlos 6627 Un. Adm. II - Campus UFMG,,0051I000000Pt9NQAS,2018-10-04T14:50:36.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Fundacao de Desenvolvimento da Pesquisa,0,5.53E+11,Private Sector,,,http://www.fundep.ufmg.br/
BR-GASTROMOTIVA,,São Paulo,Brazil,5046000,São Paulo,RUA AURELIA N. 1785 A VILA ROMANA,,0051I000000Pt9NQAS,2018-10-04T14:51:57.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Associacao Incubadora Social Gastromotiva,0,5.51E+12,Private Sector,,,http://www.gastromotiva.org
BR-HOLCIM,,São Paulo,Brazil,04719-904,São Paulo,"Rua Verbo Divino, 1488 - 5º andar - Chácara Santo Antônio",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,"Criado em 2002 para coordenar os investimentos sociais da Holcim Brasil no país, o Instituto Holcim é uma entidade sem fins lucrativos, certificada como Oscip (Organização da Sociedade Civil de Interesse Público).",,Foundation,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instituto Holcim,0,2225550251,Private Sector,,,http://www.institutoholcim.org/
BR-IABS,IABS,Brasília,Brazil,71615-170,Distrito Federal,"SHIS - QI 05 - CONJUNTO 17, CASA 20 - LAGO SULCASA 01 - LAGO SUL",,0051I000000Pt9NQAS,2018-10-04T14:41:03.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Ambiental Brasil Sustentável,0,5.56E+11,Public Sector,,,http://iabs.org.br/quem-somos/o-iabs/
BR-IADBBRR,,,Brazil,,,*,,0051I000000Pt9NQAS,2018-10-04T14:51:50.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Oficina del Banco en Brazil,0,,,,,
BR-IBAM,IBAM,Rio De Janeiro,Brazil,20070-021,Rio de Janeiro,"Rua Buenos Aires, 19 - Centro- RJ",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,"Promover com base na ética, transparência e independência partidária o desenvolvimento institucional do Município como esfera autônoma de Governo, fortalecer sua capacidade de formular políticas, prestar serviços e fomentar o desenvolvimento local, objetivando uma sociedade democrática e a valorização da cidadania.CAPACITAÇÃO, ASSISTÊNCIA TÉCNICA E ESTUDOS E PESQUISAS:  Atuando por meio de ações de capacitação, apoio técnico e realização de estudos e pesquisas, o Instituto,busca estar presente em todos os campos de ação dos governos municipais, no apoio à descentralização de políticas públicas, na gestão sustentável de territórios, no fomento à inovações de gestão como as parcerias/alianças público-privadas e na defesa de direitos das minorias e ambientais, sobretudo no que toca à incorporação de conquistas sociais na agenda pública.",,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Brasileiro de Administracao Municipal,0,2121429797,Private Sector,,,http://www.ibam.org.br
BR-IBG,,,Brazil,,,ALAMEDA SAO BOAVENTURA 770 - FONSECA - RJ CEP 24120-192,,0051I000000Pt9NQAS,2018-10-04T14:51:50.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instituto Baia de Guanabara,0,21-2625-4311,,,,
BR-IBGE,,,Brazil,,,,,0051I000000Pt9NQAS,2018-10-04T14:51:50.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Instituto Brasileno de Geografia y Estadisticas,0,,,,,
BR-IBQP,IBQP,Curitiba,Brazil,PR 80210-350,Paraná,"RUA DR. CORREA COELHO, 741",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instituto Brasileiro da Qualidade e Produtividade No Paraná,0,5.54E+11,Private Sector,,,www.ibqp.org.br
BR-IBRACON,,São Paulo,Brazil,01323-001,São Paulo,"Rua Maestro Cardim, 1170, 8º e 9º andares | Bela vista0",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,"Manter a confiança da sociedade na atividade de auditoria independente e a relevância da atuação profissional, salvaguardando e promovendo os padrões de excelência em contabilidade e auditoria independente.",,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Dos Auditores Independentes Dobrasil,0,5.51E+11,Private Sector,,,http://www.ibracon.com.br/ibracon/Portugues/
BR-ICCB,,Rio De Janeiro,Brazil,22.250-040,Rio de Janeiro,"Praia de Botafogo, 374 - 6º andar - Botafogo",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,Foundation,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instituto Coca-Cola Brasil,0,2125591000,Private Sector,,,http://www.institutococacola.org.br
BR-ICE,,São Paulo,Brazil,01448-050,São Paulo,"RUA PADRE MANUEL DE CHAVES, 78JARDIM EUROPA",,0051I000000Pt9NQAS,2018-10-04T14:51:50.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Instituto de Cidadania Empresarial,0,5.51E+11,Private Sector,,,http://ice.org.br
BR-ICPB,ICPB,Curitiba,Brazil,,Paraná,"Rua Dr. Correa Coelho, 741 - Jd. Botânico",,0051I000000Pt9NQAS,2018-10-04T14:50:44.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto de Calidad y Productividad Delbrasil,0,4132642246,Private Sector,,,http://ibqp.org.br/
BR-IDEC,,São Paulo,Brazil,05002-050,São Paulo,"Rua Desembargador Guimarães, 21 - Água Branca",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Brasileiro de Defensa do Consumidor,0,1138742150,Private Sector,,,http://www.idec.org.br/
BR-IDES,,Ituberá,Brazil,45.435-000,Bahia,"AV. HIDELBRANDO DE A GOMES, S/N, BAIRRO, ERICO SABINO DE SOUZAERICO SABINO DE SOUZA",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto de Desenvolvimento Sustentaveldo Baixo Sul da Bahia,0,5.57E+11,Private Sector,,,"http://www.ides.org.br/, http://www.tributoaofuturo.com.br/projetosapoiados/Prestao%20de%202012%20Projeto%20Jovem%20Turismo%20e%20Cidadania/Oficio%20Prefeitura%20Nilo.pdf"
BR-IE,,Palmas,Brazil,77022-068,Tocantins,Quadra 606 Sul - Alameda Di Cavalcanti Qi 04 Lote 24 Casa 02,,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Ecológica,0,5.56E+11,Private Sector,,,http://www.ecologica.org.br/
BR-IECNI,,São Paulo,Brazil,5465070,São Paulo,"AV. GRAL. FURTADO DO NASCIMENTO, 740, CONJUNTO 81, ALTO DE PINHEIROS",,0051I000000Pt9NQAS,2018-10-04T14:50:36.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto de Estudios de Comercio y Negociaciones Internacionales,0,5.51E+11,Private Sector,,,www.iconebrasil.org.br
BR-IEF,,Belo Horizonte,Brazil,31630-900,Minas Gerais,"IEF- Rodovia Prefeito Américo Gianetti, s/n Bairro Serra Verde",,0051I000000Pt9NQAS,2018-10-04T14:51:28.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,"Instituto Forestal de Minas Gerais, Brasil",0,,Public Sector,,,http://www.ief.mg.gov.br/
BR-IELBA,IEL-BA,Salvador,Brazil,,Bahia,"RUA EDISTIO PONDÉ, 342 CONJUNTO ALBANO F, StiepRANCO ¿ STIEP",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Euvaldo Lodi ¿ Nucleo Regionalna Bahia,0,5.51E+12,Private Sector,,,
BR-IEL-NRMG,IEL-MG,Brasília,Brazil,70040-903,Distrito Federal,SBN - Quadra 01 - Bloco C - Ed. Roberto SimonsenÁRIOS,,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instiruto Euvaldo Lodi - Núcleo Regionalminas Gerais,0,6133179000,Private Sector,,,http://www.portaldaindustria.com.br/iel/
BR-IELSC,IEL-SC,Florianópolis,Brazil,88034-001,Santa Catarina,Rodovia Admar Gonzaga 2765 - Itacorubi,,0051I000000Pt9NQAS,2018-10-04T14:51:03.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Euvaldo Lodi de Santa Catarina,0,4832314636,Private Sector,,,http://www.ielsc.org.br/web/
BR-IER,,Belo Horizonte,Brazil,30150-250,Minas Gerais,"Rua Álvares Maciel, 59 I 11° andar - Santa EfigêniaIGENIA",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Estrada Real,0,5.53E+11,Private Sector,,,http://www.institutoestradareal.com.br/
BR-IFV,IFV,Ilhéus,Brazil,45.651-610,Bahia,"Av. Litorânea Norte, 206 -Malhado",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,"Aliar a conservação da natureza ao desenvolvimento humano no Brasil, com atuação prioritária na Bahia.",,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Floresta Viva,0,7336343526,Mixed,,,http://florestaviva.org.br/
BR-IH,IH,Rio De Janeiro,Brazil,,Rio de Janeiro,,,0051I000000Pt9NQAS,2018-10-04T14:50:52.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto de Hospitalidad,0,,Private Sector,,,http://saopaulo.impacthub.com.br/
BR-IIDAC,,Anápolis,Brazil,75075-210,Goiás,AV. BRASIL Nº 200 -Centro,,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instituto Internacional para o Desenvolvimento da Cidadania,0,,Private Sector,,,http://www.salvemascriancas.org/wp/?p=4630
BR-INM,,,Brazil,,,"RUA JOAQUIM FLORIANO, 820-1O. ANDAR, CONJUNTO 11",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto de Normas Mercantis,0,0800 770 6880,Private Sector,,,
BR-INOCAS,,Belo Horizonte,Brazil,38700001,Minas Gerais,RUA MAJOR GOTE 749 - SALA 208 ? CENTRO,,0051I000000Pt9NQAS,2018-10-04T14:51:50.000Z,"Global demand for plant oil has increased by nearly 70% over the last decade (see OECD-FAO for further details). In response to higher demand plant oil production also grew strongly. However, this growth has been far from sustainable and resulted in destruction of natural habitats such as rain forests.     The use of plant oils as feedstock in industrial applications like bio jet fuels or bio plastics is expected to further increase the pressure to expand plant oil production on a global scale. Conversion of agricultural land for such purposes can threaten food security in developing countries.NOCAS is implementing agricultural concepts allowing for a sustainable production of plant oils and resulting in significant carbon sequestration. These concepts include the integration of oil-bearing trees and palms in afforestation projects and in silvopastoral systems. Concepts for annual oil crops comprise intercropping and catch-cropping systems which also reduce carbon emissions from soil erosion.",,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Soluções Em Meio Ambiente Ltda.,0,553438148,Private Sector,,,
BR-INSTRODI,,Porto Alegre,Brazil,91760-470,Rio Grande do Sul,"Rua José Kanan Aranha, 346  Porto Alegre",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instrodi,0,5.55E+11,Private Sector,,,http://www.instrodi.org/
BR-INTEGRARE,,São Paulo,Brazil,01049-910,São Paulo,"João Adolfo, 118 - 9° Andar",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Centro de Integracao de Negocios,0,1155392825,Private Sector,,,http://www.integrare.org.br/novosite/index.php
BR-INVO,,São Paulo,Brazil,04536-900,São Paulo,"RUA JERÔNIMO DA VEIGA, 164, 6TH FLOOR",,0051I000000Pt9NQAS,2018-10-04T14:51:38.000Z,"O Instituto Votorantim foi criado em 2002 para direcionar a estratégia de responsabilidade social das empresas do Grupo Votorantim. Sua missão é qualificar a atuação social das empresas do Grupo contribuindo para a competividade dos negócios e o desenvolvimento das comunidades.     O objetivo principal é assegurar que a presença de uma unidade Votorantim propicie melhoria na qualidade de vida das comunidades, o que resulta, também, em um ambiente melhor para as empresas.    Trabalhamos em linha com os Objetivos de Desenvolvimento do Milênio, definidos pela Organização das Nações Unidas",,Foundation,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instituto Votorantim,0,5.51E+11,Private Sector,,,www.institutovotorantim.org.br
BR-IPEA,,Brasília,Brazil,70076-900,Distrito Federal,"SBS - Quadra 1 - Bloco J - Ed. BNDES11 ANDAR, 70076-900",,0051I000000Pt9NQAS,2018-10-04T14:50:52.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto de Pesquisas Economicas Aplicasas,0,5.56E+11,Public Sector,,,http://www.ipea.gov.br/portal/
BR-IPT,,São Paulo,Brazil,05508-901,São Paulo,Av. Prof. Almeida Prado 532 Cid. Universitária - Butantã,,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto de Pesquisas Tecnologicas do Estado de Sao Paulo,0,1137674102,Public Sector,,,http://www.ipt.br/institucional
BR-IPTI,,Santa Luzia Do Itanhy,Brazil,49230-000,Sergipe,"Avenida Beira Mar, nº 83- Avenida Beira Mar, nº 83- Santa Luzia do Itanhy - SEÚBLICA - 01046-000",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instituto de Pesquisas Em Tecnologia e Inovação,0,5.58E+11,Private Sector,,,http://www.ipti.org.br/
BR-ISB,,Rio De Janeiro,Brazil,22441-090,Rio de Janeiro,"Rua General Luiz Mendes de Moraes, n°50, Santo Cristo",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,"Instituto Stimulu, Brasil",0,5.52E+11,Private Sector,,,http://aplauso.art.br/home
BR-ITAUSPB,,São Paulo,Brazil,04344-902,São Paulo,"Praça Alfredo Egydio de Souza Aranha, 100, Torre Olavo Setubal, Parque JabaquaraSAO PAULO",,0051I000000Pt9NQAS,2018-10-04T14:51:38.000Z,"The Executing Agency for the project will be Itaú Unibanco Holding S.A. (Itaú Unibanco), a Brazilian publicly quoted bank with headquarters in São Paulo, Brazil. Itaú Unibanco Holding S.A. is the result of the merger of Banco Itaú and Unibanco, which occurred in November 2008, becoming the largest financial conglomerate in the LAC region. Itaú Unibanco Holding S.A. is listed at the Bolsa de Valores, Mercadorias & Futuros de São Paulo (BM&F Bovespa) and in New York Stock Exchange (NYSE). Itaú Unibanco Holding S.A. is controlled by Itaú Unibanco Participações S.A. (IUPAR) which owns 51% of the common shares, and which is jointly controlled by (i) Itaúsa Investimentos Itaú S.A., (Itaúsa), a company controlled by members of the Egydio de Souza Aranha family, and (ii) Companhia E. Johnston de Participações (E. Johnston), a company controlled by the Moreira Salles family. Itaúsa also directly holds 38.7% of the common shares. The remaing percentage of the common shares is of free float at the stock exchanges. Itaú Unibanco Holding S.A. provides, directly or through its subsidiaries, a wide range of credit and other financial services to a diverse customer base of individuals and companies in and outside Brazil. In Brazil, such services are offered to retail customers through the branch network of Itaú Unibanco S.A., and to wholesale customers through Banco Itaú BBA S.A. The Project Execution Unit will be the SME Unit (Área Empresas) of Itaú Unibanco S.A.",,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Itau Unibanco S/a (Head Office),0,5.51E+11,Private Sector,,,https://www.itau.com.br/
BR-ITCB,BR-M1061,Maringá,Brazil,87013190,Paraná,"Rua Basílio Sautchuk, 388 - Zona 01",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,BR-M1061 : Desarrollo de una metodología para implementar microfranquicias,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Instituto Tomadati de Cooperação do Brasil,0,4430236565,Private Sector,,,http://www.tomodati.org.br/
BR-ITPIL,,,Brazil,05422-001,,"RUA DOS PINHEIROS; 870, CONJUNTO 153 / 154",,0051I000000Pt9NQAS,2018-10-04T14:51:50.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Invest Tech Participações e Investimentos Ltda.,0,(11) 3199-2199,,,,
BR-IV,,Rio De Janeiro,Brazil,22440032,Rio de Janeiro,AVENIDA ATAULFO DE PAIVA 341,,0051I000000Pt9NQAS,2018-10-04T14:51:57.000Z,,,Foundation,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Institu Ventura,0,5.52E+11,Private Sector,,,http://www.ventura.org.br/site/index.php
BR-JB,JBI,Rio De Janeiro,Brazil,22440-032,Rio de Janeiro,", Rua Ataulfo de Paiva 245 / 6th floor, LeblonRua Ataulfo de Paiva 245 / 6th floor, Leblon",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,We seek long-term capital appreciation and follow a disciplined investment process that focuses on value drivers. We currently have three funds in operation,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Jardim Botanico Partners Investimentos,0,5.52E+11,Private Sector,,,http://www.jbpartners.com.br/
BR-LB,LB,Belo Horizonte,Brazil,01451-904,Minas Gerais,30180909 Belo Horizonte,,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Lemon Bank,0,1130932691,Private Sector,,,
BR-MAOSMINAS,MAOSMINAS,Belo Horizonte,Brazil,30310-010,Minas Gerais,"RUA GRAO MOGOL 662, SionSion - Belo Horizonte-MG",,0051I000000Pt9NQAS,2018-10-04T14:51:20.000Z,"Promover o desenvolvimento e fortalecimento do setor artesanal por meio da valorização do artesão e contribuir para que o meio ambiente, assim como a identidade cultural de cada região de Minas Gerais, sejam preservados.",Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Asociacion Dos Artesaos e Productores Caseiros Maos de Minas,0,3132828300,Private Sector,,,http://www.maosdeminas.org.br/
BR-MDSCF,,Brasília,Brazil,70046-900,Distrito Federal,"Esplanada dos Ministérios, Bloco C, 5° andar",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,"MSD provides citizenship and social inclusion to the beneficiaries, which are committed to health and education activities. The Ministry also carries out structuring, emergency and sustainable actions of fight against hunger, by food production and distribution actions, family agriculture promotion, regional development and nutritional education, respecting the Brazilian cultural diversity. The Ministry also strives to consolidate the right to social assistance throughout the national territory and to bring agility to the transfer of federal government funding to the states and municipalities.",,Government,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Ministerio de Desenvolvimento Social e Combate a Fome,0,55613131728,Public Sector,,,http://www.mds.gov.br/
BR-MFEP,,,Brazil,,,,,0051I000000Pt9NQAS,2018-10-04T14:51:38.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,"Ministerio da Economia, Fazenda e Planejamento",0,,Public Sector,,,
BR-MICROINVEST,,São Paulo,Brazil,01002-000,São Paulo,"Rua Direita, 250. 18andar., CentroCentro",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,"Itaú Microcrédito's objective is to offer financial services to micro-entrepreneurs who have limited access to traditional financing lines.Itaú Microcrédito targets formal and informal small-scale entrepreneurs in less privileged neighbourhoods in the cities of São Paulo, Rio de Janeiro and Porto Alegre. A considerable number of informal microentrepreneurs who do not have the necessary qualities to participate in the traditional fi nancial system, find a credit solution at Itaú Microcrédito.",,Business,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Microinvest S/a Sociedade de Crédito Ao Microempreendedor,0,5.51E+11,Private Sector,,,www.itau.com.br/microcredito
BR-MOECI,,Belo Horizonte,Brazil,30110-120,Minas Gerais,"Avenida Augusto de Lima, 1454 - Barro Preto",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,"Promover a cidadania para a população socialmente excluída, por meio da educação e da geração de trabalho e renda, e do apoio a ações de combate à fome e à miséria.",,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Moradia e Cidadania,0,3133392047,Private Sector,,,http://moradiaecidadaniamg.org.br/
BR-MPG,,Brasília,Brazil,70040-906,Distrito Federal,"Ministério do Planejamento, Orçamento e Gestão, Esplanada dos Ministérios, Brasília - DF ,Bloco K - Bloco C",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Ministerio de Planificacion Presupuesto y Gestion,0,,Public Sector,,,http://www.planejamento.gov.br/
BR-OCEANUS,,Maceió,Brazil,,Alagoas,"LOTEAMENTO CABO FRIO, QUADRA B, LOTE 01,COSTA ISURRA",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Projeto Oceanus,0,,Private Sector,,,
BR-OCT,,Ibirapitanga,Brazil,45500-000,Bahia,"Núcleo da Papuã, Estrada Parque da Cidadania, Km 6, Entrada no Km 386 da BR-101)ESTRADA PARQUE DA CIDADANIA - PORTAL APA DO PRATIGI",,0051I000000Pt9NQAS,2018-10-04T14:51:38.000Z,"Conception and implementation of environmental aspects in the synergistic context of PDCIS (Development and Integrated Growth Program with Sustainability).OCT coordinates and integrates synergistic environmental actions necessary for the development and sustainable growth of Southern Bahia Lowland. Currently, OCT prioritizes actions on the Environmental Protection Area (APA) Pratigi as pilot area; however, the long-term vision is to replicate the experiences and projects in the five other areas that make up the APA region of Southern Lowland of Bahia.",,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Organização de Conservação da Terra,0,5.51E+12,Private Sector,,,http://www.oct.org.br/wp/
BR-OISCA,,São Paulo,Brazil,12300000,São Paulo,"Rua da Gloria 332, CEP 01510 Liberdade",,0051I000000Pt9NQAS,2018-10-04T14:51:03.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,"Organizacion para el Progreso Industrial,espiritual y Cultural, Brasil",0,39651138,Private Sector,,,http://www.oisca-international.org/
BR-OPV,,Porto Alegre,Brazil,90030110,Rio Grande do Sul,"Largo Visconde do Cairu, 17 - 8º andar , Centro",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Ong Parceiros Voluntários,0,5.55E+11,Private Sector,,,http://www.parceirosvoluntarios.org.br/
BR-PDEEM,,,Brazil,,,,,0051I000000Pt9NQAS,2018-10-04T14:51:03.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Programa de Desenvolvimento Energetico de Estados e Municipios,0,,Public Sector,,,
BR-PECSA,,,Brazil,78580000,,AV. LUDOVICO DA RIVA NETO 1366,,0051I000000Pt9NQAS,2018-10-04T14:51:57.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Pecuária Sustentável da Amazônia,0,+55 (66) 3521-3060,,,,
BR-PERFORMAINV,LIONS,São Paulo,Brazil,01452-924,São Paulo,"Avenida Brigadeiro Faria Lima, 2601, 8º andarItaim",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Performa Investimentos,0,5.51E+11,Private Sector,,,www.lionstrust.com.br
BR-PESCA,FUNDIPESCA,Salvador,Brazil,41.610-370,Bahia,"Rua Everaldo Freitas Magnavita, 5AItapuã",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Fundação para o Desenvolvimento de Comunidades Pesqueiras Artesanais (Fundipesca),0,713755535,Private Sector,,,http://www.fundipesca.org.br/
BR-PFB,,Rio De Janeiro,Brazil,20050-094,Rio de Janeiro,"Rua Visconde de Inhaúma, 50 , salas 1215 & 1216",,0051I000000Pt9NQAS,2018-10-04T14:50:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Planet Finance Brasil Asociación Civil,0,5.52E+11,Private Sector,,,http://www.planetfinance.org/
BR-PRIMUS,,Florianópolis,Brazil,88030-000,Santa Catarina,"SC 401, KM 01, nº 600, Sala T11Parqtec Alfa - João Paulo",,0051I000000Pt9NQAS,2018-10-04T14:51:28.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Cventures Empreendimentos Inovadores e Participações s.a.,0,5.55E+11,Private Sector,,,http://www.cventures.com.br/
BR-PSMOESTE,,Santa Maria Do Oeste,Brazil,85230-000,Paraná,"Avenida José de França Pereira, 10",,0051I000000Pt9NQAS,2018-10-04T14:50:44.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Prefectura de Santa Maria do Oeste,0,5.54E+11,Public Sector,,,http://www.santamariadooeste.pr.gov.br/
BR-PUC-RJ,,Rio De Janeiro,Brazil,22451-900,Rio de Janeiro,"RUA MARQUÊS DE SÃO VICENTE, 225, GÁVEA",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Faculdades Católicas,0,5.52E+11,Public Sector,,,http://www.puc-rio.br/
BR-RAONI,,Colider (Mt),Brazil,78.500-000,Mato Grosso,"Avenida Marechal Rondon, nº 1.572 Setor Leste, Centro - Colíder",,0051I000000Pt9NQAS,2018-10-04T14:51:11.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Instituto Raoni,0,6635413588,Private Sector,,,http://institutoraoni.com.br/
BR-REDEH,,Rio De Janeiro,Brazil,20031-010,Rio de Janeiro,"Rua Álvaro Alvim, 21 / 16º andar - CentroTRO",,0051I000000Pt9NQAS,2018-10-04T14:51:38.000Z,"Rede de Desenvolvimento Humano (Human Development Network) is a nonpartisan, civil organization that was created in 1990. Our mission is to defend diversity and promote human development and equality among gender, race and ethnicity. We strive for sustainable development, conservation and protection of the environment.supported leadership among women and other social status people (young people, communities and teachers) in decision making and implementation of public policies for women, black populations, youth and other segments in socially disadvantaged communities. A major focus of REDEH is sustainable development.  REDEH has been working with climate change adaptation since 2005, promoting pro-poor private-public initiatives based on a Community Based Adaptation approach",,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Rede de Desenvolvimineto Humano,0,5.52E+11,Private Sector,,,http://www.redeh.org.br/
